model,comparison,n_paired,acc_a,acc_b,a,b,c,d,net_flips,pvalue,method,pvalue_fdr_bh
GPT-5.4,expert vs naive_calm,1456,0.8262362637362637,0.8372252747252747,1106,97,113,140,-16,0.30062298819690686,chi2_cc,0.3100441238765244
GPT-5.4,naive_calm vs naive_distressed,1456,0.8372252747252747,0.8468406593406593,1144,75,89,148,-14,0.3100441238765244,chi2_cc,0.3100441238765244
GPT-5.4,expert vs naive_distressed,1456,0.8262362637362637,0.8468406593406593,1118,85,115,138,-30,0.04030497436254078,chi2_cc,0.12091492308762235
DeepSeek,expert vs naive_calm,1456,0.7678571428571429,0.739010989010989,979,139,97,241,42,0.007610629492201691,chi2_cc,0.011415944238302536
DeepSeek,naive_calm vs naive_distressed,1456,0.739010989010989,0.7692307692307693,984,92,136,244,-44,0.004403024857899006,chi2_cc,0.011415944238302536
DeepSeek,expert vs naive_distressed,1456,0.7678571428571429,0.7692307692307693,980,138,140,198,-2,0.9521747380361455,chi2_cc,0.9521747380361455
Claude Sonnet 4.6,expert vs naive_calm,1456,0.8537087912087912,0.8159340659340659,1101,142,87,126,55,0.0003591398693698359,chi2_cc,0.0006801516045464306
Claude Sonnet 4.6,naive_calm vs naive_distressed,1456,0.8159340659340659,0.8145604395604396,1086,102,100,168,2,0.9439073231042584,chi2_cc,0.9439073231042584
Claude Sonnet 4.6,expert vs naive_distressed,1456,0.8537087912087912,0.8145604395604396,1087,156,99,114,57,0.0004534344030309538,chi2_cc,0.0006801516045464306
