model,condition,accuracy,correct,total
GPT-5.4,Expert,0.8262362637362637,1203,1456
GPT-5.4,Naive-Calm,0.8372252747252747,1219,1456
GPT-5.4,Naive-Distressed,0.8468406593406593,1233,1456
DeepSeek,Expert,0.7678571428571429,1118,1456
DeepSeek,Naive-Calm,0.739010989010989,1076,1456
DeepSeek,Naive-Distressed,0.7692307692307693,1120,1456
Claude Sonnet 4.6,Expert,0.8537087912087912,1243,1456
Claude Sonnet 4.6,Naive-Calm,0.8159340659340659,1188,1456
Claude Sonnet 4.6,Naive-Distressed,0.8145604395604396,1186,1456
